RM1912000.031272
Normal   20/01/2019 00:02:11 20/01/2019 00:03:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6
0001201 0020 0001201 0000 07
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2
1 0 1 01200 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.0779,1783.0000,5.1406,2372.0000,5.0934,0.0000,137.6000
5.0771,1407.0000,5.1376,1621.0000,5.0937,0.0000,133.2800
5.0761,1119.0000,5.1369,1278.0000,5.0937,0.0000,131.2000
5.0765,1009.0000,5.1389,1092.0000,5.0927,0.0000,135.0400
5.0766,854.0000,5.1365,1014.0000,5.0932,0.0000,139.5200
5.0752,765.0000,5.1475,905.0000,5.0893,0.0000,132.3200
5.2945,714.0000,11.0034,822.0000,5.1224,0.0000,128.9600
6.5495,746.0000,37.3509,791.0000,5.0627,0.0000,131.5200
6.0905,780.0000,9.5984,824.0000,5.0850,0.0000,133.4400
5.6035,1006.0000,2.7191,1081.0000,5.1581,0.0000,139.2000
5.5573,1419.0000,8.1100,1532.0000,5.0398,0.0000,140.8000
5.4167,1857.0000,3.6108,2044.0000,5.0935,0.0000,130.0800
5.4544,2421.0000,6.5522,2624.0000,5.1111,0.0000,135.6800
5.3525,2957.0000,5.0381,3236.0000,5.0883,0.0000,136.6400
5.3321,3396.0000,5.4314,3761.0000,5.0929,0.0000,139.2000
5.3248,3603.0000,5.4259,4105.0000,5.0905,0.0000,132.4800
5.3373,3982.0000,5.2191,4411.0000,5.0986,0.0000,134.4000
5.3609,4296.0000,5.4695,4830.0000,5.0966,0.0000,127.8400
5.4544,4512.0000,5.4042,5218.0000,5.0888,0.0000,130.7200
5.6259,4715.0000,5.6177,5486.0000,5.0926,0.0000,130.4000
5.8355,4880.0000,5.7632,5764.0000,5.0975,0.0000,132.4800
6.0766,4841.0000,5.9784,5973.0000,5.0916,0.0000,131.2000
6.3126,4697.0000,6.2301,5893.0000,5.0915,0.0000,131.2000
6.5095,4346.0000,6.4381,5423.0000,5.0924,0.0000,131.5200
6.6877,3826.0000,6.6429,5056.0000,5.0948,0.0000,128.9600
6.8785,3476.0000,6.8153,4640.0000,5.0933,0.0000,131.6800
7.0667,3055.0000,7.0424,4040.0000,5.0924,0.0000,126.4000
7.2145,2685.0000,7.2649,3451.0000,5.0936,0.0000,130.7200
7.4219,2411.0000,7.5170,3073.0000,5.0941,0.0000,127.2000
7.4657,2233.0000,7.7114,2731.0000,5.0943,0.0000,132.1600
7.4468,2012.0000,7.8503,2414.0000,5.0928,0.0000,129.9200
7.3012,1799.0000,7.7424,1977.0000,5.0933,0.0000,131.6800
7.0220,1638.0000,7.3868,1674.0000,5.0940,0.0000,134.8800
6.7047,1484.0000,7.0966,1431.0000,5.0937,0.0000,133.2800
6.4828,1359.0000,6.8240,1238.0000,5.0934,0.0000,130.8800
6.2876,1299.0000,6.4898,1140.0000,5.0926,0.0000,133.1200
6.0918,1206.0000,6.2410,1040.0000,5.0927,0.0000,137.7600
6.0007,1125.0000,6.0908,1018.0000,5.0933,0.0000,139.5200
5.9254,1098.0000,5.9582,928.0000,5.0931,0.0000,130.5600
5.8090,1078.0000,5.8238,946.0000,5.0935,0.0000,137.4400
5.7261,945.0000,5.7014,900.0000,5.0929,0.0000,136.8000
5.6582,944.0000,5.5896,874.0000,5.0933,0.0000,140.1600
5.6049,886.0000,5.5030,763.0000,5.0928,0.0000,137.2800
5.5676,843.0000,5.4688,754.0000,5.0928,0.0000,134.0800
5.5460,778.0000,5.4344,764.0000,5.0938,0.0000,135.2000
5.5000,782.0000,5.4159,649.0000,5.0940,0.0000,132.4800
5.4666,726.0000,5.3951,676.0000,5.0942,0.0000,134.7200
5.4598,709.0000,5.3843,614.0000,5.0928,0.0000,131.6800
5.4526,632.0000,5.3889,565.0000,5.0930,0.0000,132.1600
5.4176,637.0000,5.3752,571.0000,5.0936,0.0000,138.4000
5.4099,623.0000,5.3528,535.0000,5.0928,0.0000,131.6800
5.4006,579.0000,5.3331,545.0000,5.0934,0.0000,136.4800
5.3725,548.0000,5.3292,500.0000,5.0927,0.0000,129.6000
5.3552,517.0000,5.3248,463.0000,5.0924,0.0000,136.1600
5.3428,529.0000,5.3093,484.0000,5.0927,0.0000,132.9600
5.3293,492.0000,5.2967,451.0000,5.0936,0.0000,133.1200
5.3160,483.0000,5.2906,427.0000,5.0936,0.0000,132.1600
5.2898,474.0000,5.2805,422.0000,5.0933,0.0000,129.2800
5.2963,419.0000,5.2742,369.0000,5.0927,0.0000,135.5200
5.2901,407.0000,5.2594,396.0000,5.0927,0.0000,126.2400
5.2776,389.0000,5.2598,364.0000,5.0943,0.0000,134.2400
5.2699,407.0000,5.2546,330.0000,5.0926,0.0000,132.9600
5.2498,398.0000,5.2483,325.0000,5.0931,0.0000,144.3200
5.2574,377.0000,5.2508,333.0000,5.0922,0.0000,136.8000
5.2410,394.0000,5.2410,378.0000,5.0910,0.0000,135.0400
5.2411,358.0000,5.2365,312.0000,5.0929,0.0000,136.1600
5.2375,322.0000,5.2363,304.0000,5.0937,0.0000,134.8800
5.2146,290.0000,5.2268,261.0000,5.0936,0.0000,131.5200
5.2215,282.0000,5.2270,236.0000,5.0940,0.0000,136.8000
5.2152,280.0000,5.2176,249.0000,5.0932,0.0000,128.6400
5.2102,261.0000,5.2068,230.0000,5.0927,0.0000,130.0800
