RM1912000.021110,,,,,,
Normal   20/01/2019 00:01:10 20/01/2019 00:02:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6,,,,,,
0001201 0020 0001201 0000 07,,,,,,
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0,,,,,,
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0,,,,,,
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1,,,,,,
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1,,,,,,
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2,,,,,,
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2,,,,,,
1 0 1 01201 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0,,,,,,
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.0769,1772,5.1389,2361,5.0929,0,135.68
5.0762,1318,5.1371,1473,5.092,0,129.44
5.0774,1070,5.1357,1210,5.0925,0,135.84
5.0766,941,5.1367,1058,5.0925,0,136
5.0775,869,5.1417,989,5.0918,0,133.92
5.0755,822,5.1499,907,5.0883,0,139.04
5.2961,730,10.8998,879,5.1223,0,136
6.5851,682,37.4518,874,5.0618,0,133.6
6.1062,816,9.8396,944,5.0864,0,129.6
5.576,1094,2.6304,1191,5.156,0,131.36
5.5293,1479,8.116,1683,5.0408,0,130.56
5.3956,2068,3.5598,2165,5.0941,0,125.76
5.4429,2552,6.5365,2819,5.1098,0,131.84
5.3699,3053,5.0383,3546,5.0884,0,138.08
5.3589,3538,5.439,3884,5.0908,0,127.2
5.3262,3842,5.4467,4304,5.09,0,133.6
5.3236,4144,5.2352,4594,5.0978,0,133.44
5.3822,4360,5.4964,4930,5.0967,0,135.52
5.4813,4536,5.4495,5140,5.0884,0,133.44
5.662,4695,5.6675,5365,5.0909,0,132
5.8974,4951,5.803,5571,5.097,0,128.32
6.1156,4762,6.0498,5703,5.0926,0,132
6.3759,4661,6.3368,5445,5.0903,0,137.6
6.6333,4125,6.5477,5060,5.0925,0,125.6
6.8137,3818,6.7458,4717,5.0946,0,124.96
6.9423,3314,6.9104,4264,5.0925,0,131.2
7.0963,2986,7.0923,3679,5.0915,0,125.92
7.2157,2656,7.2895,3348,5.0932,0,132.64
7.3885,2430,7.425,2842,5.0927,0,129.12
7.5259,2244,7.5416,2535,5.0925,0,132.32
7.4102,2032,7.6346,2289,5.0922,0,127.04
